name,codename,architecture,coresTotal,coresPhysical,speedGzMin,speedGzMax,socket,technologyNodeUnit,technologyNodeValue,cacheL3Unit,cacheL3Size,thermalDesignPowerUnit,thermalDesignPowerValue,released
Xeon Platinum 8360H,Cooper Lake-SP,x86_64,48,24,3,4.2,4189,nanometers,14,MB,33,watts,225,2021-04-06
Xeon Platinum 8360HL,Cooper Lake-SP,x86_64,48,24,3,4.2,4189,nanometers,14,MB,33,watts,225,2021-04-06
Xeon Platinum 8360Y,Ice Lake-SP,x86_64,72,36,2.4,3.5,4189,nanometers,10,MB,54,watts,250,2021-04-06
Xeon Platinum 8362,Ice Lake-SP,x86_64,64,32,2.8,3.6,4189,nanometers,10,MB,48,watts,265,2021-04-06
Xeon Platinum 8368,Ice Lake-SP,x86_64,76,38,2.4,3.4,4189,nanometers,10,MB,57,watts,270,2021-04-06
Xeon Platinum 8368Q,Ice Lake-SP,x86_64,76,38,2.6,3.7,4189,nanometers,10,MB,57,watts,270,2021-04-06
Xeon Platinum 8376H,Cooper Lake-SP,x86_64,56,28,2.6,4.3,4189,nanometers,14,MB,38.5,watts,205,2021-04-06
Xeon Platinum 8376HL,Cooper Lake-SP,x86_64,56,28,2.6,4.3,4189,nanometers,14,MB,38.5,watts,205,2021-04-06
Xeon Platinum 8380,Ice Lake-SP,x86_64,80,40,2.3,3.4,4189,nanometers,10,MB,60,watts,270,2021-04-06
Xeon Platinum 8380H,Cooper Lake-SP,x86_64,56,28,2.9,4.3,4189,nanometers,14,MB,38.5,watts,250,2021-04-06
Xeon Platinum 8380HL,Cooper Lake-SP,x86_64,56,28,2.9,4.3,4189,nanometers,14,MB,38.5,watts,250,2021-04-06
Xeon Silver 4309Y,Ice Lake-SP,x86_64,16,8,2.8,3.6,4189,nanometers,10,MB,12,watts,105,2021-04-06
Xeon Silver 4310,Ice Lake-SP,x86_64,24,12,2.1,3.3,4189,nanometers,10,MB,18,watts,120,2021-04-06
Xeon Silver 4310T,Ice Lake-SP,x86_64,20,10,2.3,3.4,4189,nanometers,10,MB,15,watts,105,2021-04-06
Xeon Silver 4314,Ice Lake-SP,x86_64,32,16,2.4,3.4,4189,nanometers,10,MB,24,watts,135,2021-04-06
Xeon Silver 4316,Ice Lake-SP,x86_64,40,20,2.3,3.4,4189,nanometers,10,MB,30,watts,150,2021-04-06
Xeon W-3323,Ice Lake-W,x86_64,24,12,3.5,4,4189,nanometers,10,MB,18,watts,220,2021-07-29
Xeon W-3335,Ice Lake-W,x86_64,32,16,3.4,4,4189,nanometers,10,MB,24,watts,250,2021-07-29
Xeon W-3345,Ice Lake-W,x86_64,48,24,3,4,4189,nanometers,10,MB,36,watts,250,2021-07-29
Xeon W-3365,Ice Lake-W,x86_64,64,32,2.7,4,4189,nanometers,10,MB,48,watts,270,2021-07-29
Xeon W-3375,Ice Lake-W,x86_64,76,38,2.5,4,4189,nanometers,10,MB,57,watts,270,2021-07-29
Ryzen 3 5125C,Cezanne-U,x86_64,4,2,3,3,FP6,nanometers,7,MB,8,watts,15,2022-05-05
Ryzen 3 5425C,Cezanne-U,x86_64,8,4,2.7,4.1,FP6,nanometers,7,MB,8,watts,15,2022-05-05
Ryzen 3 5425U,Barcelo,x86_64,8,4,2.7,4.1,FP6,nanometers,7,MB,8,watts,15,2022-01-06
Ryzen 3 PRO 5475U,Cezanne-U,x86_64,8,4,2.7,4.1,FP6,nanometers,7,MB,8,watts,15,2022-04-19
Ryzen 5 5625C,Cezanne-U,x86_64,12,6,2.3,4.3,FP6,nanometers,7,MB,16,watts,15,2022-05-05
Ryzen 5 5625U,Barcelo,x86_64,12,6,2.3,4.3,FP6,nanometers,7,MB,16,watts,15,2022-01-06
Ryzen 5 6600H,Rembrandt,x86_64,12,6,3.3,4.5,FP7,nanometers,6,MB,16,watts,45,2022-01-01
Ryzen 5 6600HS,Rembrandt,x86_64,12,6,3.3,4.5,FP7,nanometers,6,MB,16,watts,35,2022-01-01
Ryzen 5 6600U,Rembrandt,x86_64,12,6,2.9,4.5,FP7,nanometers,6,MB,16,watts,15,2022-01-01
Ryzen 5 7600X,Raphael,x86_64,12,6,4.7,5.3,AM5,nanometers,5,MB,32,watts,105,2022-09-27
Ryzen 5 PRO 5675U,Cezanne-U,x86_64,12,6,2.3,4.3,FP6,nanometers,7,MB,16,watts,15,2022-04-19
Ryzen 5 PRO 6650H,Rembrandt,x86_64,12,6,3.3,4.5,FP7,nanometers,6,MB,16,watts,45,2022-04-19
Ryzen 5 PRO 6650HS,Rembrandt,x86_64,12,6,3.3,4.5,FP7,nanometers,6,MB,16,watts,35,2022-04-19
Ryzen 5 PRO 6650U,Rembrandt,x86_64,12,6,2.9,4.5,FP7,nanometers,6,MB,16,watts,15,2022-04-19
Ryzen 7 5825C,Cezanne-U,x86_64,16,8,2,4.5,FP6,nanometers,7,MB,16,watts,15,2022-05-05
Ryzen 7 5825U,Barcelo,x86_64,16,8,2,4.5,FP6,nanometers,7,MB,16,watts,15,2022-01-06
Ryzen 7 6800H,Rembrandt,x86_64,16,8,3.2,4.7,FP7,nanometers,6,MB,16,watts,45,2022-01-01
Ryzen 7 6800HS,Rembrandt,x86_64,16,8,3.2,4.7,FP7,nanometers,6,MB,16,watts,35,2022-01-01
Ryzen 7 6800U,Rembrandt,x86_64,16,8,2.7,4.7,FP7,nanometers,6,MB,16,watts,15,2022-01-01
Ryzen 7 7700X,Raphael,x86_64,16,8,4.5,5.4,AM5,nanometers,5,MB,32,watts,105,2022-09-27
Ryzen 7 PRO 5875U,Cezanne-U,x86_64,16,8,2,4.5,FP6,nanometers,7,MB,16,watts,15,2022-04-19
Ryzen 7 PRO 6850H,Rembrandt,x86_64,16,8,3.2,4.7,FP7,nanometers,6,MB,16,watts,45,2022-04-19
Ryzen 7 PRO 6850HS,Rembrandt,x86_64,16,8,3.2,4.7,FP7,nanometers,6,MB,16,watts,35,2022-04-19
Ryzen 7 PRO 6850U,Rembrandt,x86_64,16,8,2.7,4.7,FP7,nanometers,6,MB,16,watts,15,2022-04-19
Ryzen 9 6900HS,Rembrandt,x86_64,16,8,3.3,4.9,FP7,nanometers,6,MB,16,watts,35,2022-01-01
Ryzen 9 6900HX,Rembrandt,x86_64,16,8,3.3,4.9,FP7,nanometers,6,MB,16,watts,45,2022-01-01
Ryzen 9 6980HS,Rembrandt,x86_64,16,8,3.3,5,FP7,nanometers,6,MB,16,watts,45,2022-01-01
Ryzen 9 6980HX,Rembrandt,x86_64,16,8,3.3,5,FP7,nanometers,6,MB,16,watts,45,2022-01-01
Ryzen 9 7900X,Raphael,x86_64,24,12,4.7,5.6,AM5,nanometers,5,MB,64,watts,170,2022-09-27
Ryzen 9 7950X,Raphael,x86_64,32,16,4.5,5.7,AM5,nanometers,5,MB,64,watts,170,2022-09-27
Ryzen 9 PRO 6950H,Rembrandt,x86_64,16,8,3.3,4.9,FP7,nanometers,6,MB,16,watts,45,2022-04-19
Ryzen 9 PRO 6950HS,Rembrandt,x86_64,16,8,3.3,4.9,FP7,nanometers,6,MB,16,watts,35,2022-04-19
Celeron 7300,Alder Lake-U,x86_64,6,5,1,1,BGA 1781,nanometers,10,MB,8,watts,9,2022-02-23
Celeron 7305,Alder Lake-U,x86_64,6,5,1.1,1.1,BGA 1744,nanometers,10,MB,8,watts,15,2022-02-23
Celeron G6900,Alder Lake-S,x86_64,2,2,3.4,3.4,1700,nanometers,10,MB,4,watts,46,2022-01-04
Celeron G6900E,Alder Lake-S,x86_64,2,2,3,3,1700,nanometers,10,MB,4,watts,46,2022-01-04
Celeron G6900T,Alder Lake-S,x86_64,2,2,2.8,2.8,1700,nanometers,10,MB,4,watts,35,2022-01-04
Celeron G6900TE,Alder Lake-S,x86_64,2,2,2.4,2.4,1700,nanometers,10,MB,4,watts,35,2022-01-04
Core i3-12100,Alder Lake-S,x86_64,8,4,3.3,4.3,1700,nanometers,10,MB,12,watts,60,2022-01-04
Core i3-12100E,Alder Lake-S,x86_64,8,4,3.2,4.2,1700,nanometers,10,MB,12,watts,60,2022-01-04
Core i3-12100T,Alder Lake-S,x86_64,8,4,2.2,4.1,1700,nanometers,10,MB,12,watts,35,2022-01-01
Core i3-12100TE,Alder Lake-S,x86_64,8,4,2.1,4,1700,nanometers,10,MB,12,watts,35,2022-01-01
Core i3-1210U,Alder Lake-U,x86_64,8,6,1,4.4,BGA 1781,nanometers,10,MB,10,watts,9,2022-02-23
Core i3-1215U,Alder Lake-U,x86_64,8,6,1.2,4.4,BGA 1744,nanometers,10,MB,10,watts,15,2022-02-23
